hostcode,hostdesc
POCT   ,CROWN OF THORNS
POCY   ,CYCLAMEN - POT PLANT
PODE2  ,DELPINIUM - SEED SOWING
PODR   ,DRACAENA SPP. - POT PLANT
POEP3  ,EUPHORBIA PULCHERRIMA - CUTTINGS
POFI1  ,FICUS SPP. - PRICKING-OFF SEEDLING
POFU1  ,FUSCHIA - PRICKING-OFF SEEDLING
POGE   ,GERBERA JAMESONII - POT PLANT
POHE1  ,HEDERA HELIX (IVY) - PRICKING-OFF SEEDLI
POHE3  ,HEDERA HELIX (IVY) - CUTTINGS
POIR   ,IRIS - POT PLANT
POIR2  ,IRIS - SEED SOWING
POLE   ,EASTER LILLY
POMN3  ,MONSTERA DELICIOSA - CUTTINGS
POMS1  ,MESEMBRYANTHEMEM - PRICKING-OFF SEEDLING
PON    ,FLOWER AND FOLIAGE PLANT
PONS1  ,NURSERY STOCK - PROTECTIVE CROP
POOR3  ,ORCHIDS (ALL COMMON SPECIES) - CUTTINGS
POPA3  ,PACHYSTACHYS SPP. - CUTTINGS
POPC2  ,POLYSCIAS (LACE ARALIA) - SEED SOWING
POPE1  ,PEPEROMIA SPP. - PRICKING-OFF SEEDLING
POPE2  ,PEPEROMIA SPP. - SEED SOWING
POPH2  ,PHILODENDRON SPP. PRICKING-OFF SEEDLING
POPI   ,PHILODENDRON SPP. - POT PLANT
POPI3  ,PHILODENDRON SPP. - CUTTINGS
POPL   ,PHALAENOSPSIS - POT PLANT
POPR1  ,PRIMULA SPP. - PRICKING-OFF SEEDLING
POPS1  ,PILEA SPP. - PRICKING-OFF SEEDLING
PORA   ,RANUNCULUS - POT PLANT
PORH   ,RHAPHIDOPHORA - POT PLANT
POSC1  ,SCINDAPSUS - PRICKING-OFF SEEDLING
POSR3  ,STROBILANTHES - CUTTINGS
POTR   ,TRISTANIA SPP. - POT PLANT
POTU   ,TULIPA (TULIP) - POT PLANT
POVR1  ,VRIESEA SPLENDENS - PRICKING-OFF SEEDLIN
POVR2  ,VRIESEA SPLENDENS - SEED SOWING
PSCAL  ,ARROWLEAF CLOVER SEED CROP
PSCAX  ,AXILLARIS SEED CROP
PSCCA  ,SIROCCO PHALARIS SEED CROP
PSCCC  ,SIROLAN PHALARIS SEED CROP-OVER 1 YR.OLD
PSCCF  ,CENTRO SEED CROP - PRIOR TO SOWING
PSCDS  ,SILVERLEAF DESMODIUM SEED CROP
PSCECE ,CURRIE COCKSFOOT SEED CROP - ESTABLISHED
PSCG   ,WHITE CLOVER SEED CROP
PSCGC  ,GLYCINE SEED CROP - PRIOR TO SOWING
MONN   ,NURSERY STOCK - REFER TO LABEL
MONNFM ,ORNAMENTAL & NON FRUIT BEARING PLANT 
MONPS  ,SLASH PINE
MONS0  ,SCHEFFLERA ARBORICOLA
MONS2  ,WOODY ORNAMENTAL PLANT
MONSO  ,LONICERA OR HONEYSUCKLE
MONSR  ,PHOTINIA
MONT3  ,CHAMELAUCIUM
MONT7  ,HOPBUSH
MONT8  ,ERIOSTEMON
MONTS  ,NATIVE TREE OR SHRUB
MONTTP ,TREE PLANTINGS
MONU5  ,BOUVARDIA
MONUL  ,METROSIDEROS
MONUN  ,ROSEMARY
MONUR  ,WESTRINGIA
MONWC  ,WHITE CEDAR
MONWP  ,WOODY PLANTS - CONTAINER GROWN
MOPY5  ,PYRETHRUM - SEEDLINGS
MPF    ,POLYSTYRENE FOAM-CONSTRUCTION GRADE
MPH1   ,PUBLIC HEALTH BUILDING
MRUG   ,RUG
MSBA   ,TOBACCO SEEDBED
MSBSL  ,SOIL
MSBT   ,TOMATO SEEDBED
MSH    ,MUSHROOM CROP
MSHC   ,MUSHROOM BED
MT     ,TURF AND LAWN
MTFBGL ,BOWLING GREEN (SEE LABEL FOR VARIETIES)
MTFBP  ,LAWN OR GARDEN PRIOR TO SOWING
MTFG   ,GOLF GREEN TURF
MTFG1  ,GOLF COURSE TURF
MTFGB  ,GOLF GREEN - PUTTING
MTFGP  ,GOLF GREEN OF KENTUCKY BLUEGRASS
MTFGZ  ,GOLF FAIRWAY OF ZOYSIA
MTFHB  ,TENNIS COURT OF BENT GRASS
MTFKE  ,KIKUYU - ESTABLISHED
MTFL   ,LIPPIA LAWN OR TURF
MTFNS  ,CREEPING BENT GRASS
MTFPO  ,WINTERGRASS
MTFQ   ,PLAYING FIELD
MTFQB  ,PLAYING FIELD OF BENT GRASS
MTFQC  ,PLAYING FIELD OF COMMON COUCH
MTFXE  ,CARPET GRASS - ESTABLISHED
MTFZ   ,BROWNTOP LAWN OR TURF
MTLNE  ,LAWN - NEWLY ESTABLISHED
MTNS   ,LAWN - NEWLY SOWN
MTPR   ,TURF - PRIOR TO SOWING
MZOO   ,ZOO
NAAET  ,NUISANCE ANT ACTIVITY - EXTERNAL
NT2    ,TREE NUT PLANTATION
NTSGOC ,MACADAMIA - OWN CHOICE
NTSH   ,PECAN
NTSH2  ,PECAN - DORMANT - OVER 3 YEARS OLD
NTSJ   ,WALNUT
NTSJ3  ,WALNUT DORMANT
NTSKP  ,PEANUT - PRE-EMERGENT
PA3    ,PASTURE - RIGHTS OF WAY
PAA1   ,PASTURE - PRIOR TO RE-SEEDING
PABG1  ,PASTURE (BENT GRASS INFESTED) - SUPPRESS
PACBP  ,BALANSA CLOVER (PRIOR TO SOWING)
PACDS  ,CLOVER PASTURE SEEDLING
PACS2  ,SUBTERRANEAN CLOVER - FALLOW & SEEDBED
PACSL  ,SUBCLOVER PASTURE - SEE LBL 4 VARIETIES
PAEH2  ,AECHMEA SPP. - SEED SOWING
PAGL1  ,GRASS/LEGUME PASTURE-POST SOWING/PRE-EMG
PAMN   ,SNAIL MEDIC PASTURE
PAOGL  ,FORAGE GRASS AND LEGUME PASTURE
PAONL  ,PASTURE (NON LEGUMES)
PAPC   ,COMMERCIAL PASTURES
PARR   ,REDQUIN RED CLOVER PASTURE
PASUB  ,SUB-TROPICAL PASTURES
PFFE1  ,DEMETER FESCUE - SELECTIVE WEED CONTROL
PFFEDE ,DEMETER FESCUE SEED CROP - ESTABLISHED
PNPT   ,PANDANUS TREE
POA1   ,ANTIRRHINUM (SNAPDRAGON) - PRICKING-OFF
POA3   ,ANTIRRHINUM (SNAPDRAGON) - CUTTINGS
POAT2  ,ASTER - SEED SOWING
POAZ3  ,AZALEA - CUTTINGS
POBA3  ,BANKSIA SPP. - CUTTINGS
POBO2  ,BORONIA SPP. - SEED SOWING
POBR3  ,BROMELIADS - CUTTINGS
POCI3  ,CALLISTEMON - CUTTINGS
POCM3  ,CLEMATIS - CUTTINGS
POCR1  ,CHRYSANTHEMUM INDICUM - PRICKING-OFF SEE
PODF   ,DIEFFENBACHIA - POT PLANT
POFA1  ,FATSHEDERA LIZEI - PRICKING-OFF SEEDLING
POFV1  ,FITTONIA VERSCHAFFELTII - PRICKING-OFF S
POGE1  ,GERBERA JAMESONII - PRICKING-OFF SEEDLIN
POGL   ,GLOXINIA - POT PLANT
POIM   ,IMPATIENS - POT PLANT
POKA2  ,KALANCHOE - SEED SOWING
POLP   ,LEPTOSPERMUM - POT PLANT
POMA1  ,MARANTA - PRICKING-OFF SEEDLING
POME3  ,MELALEUCA SPP. - CUTTINGS
POMK   ,MIKANIA APPLIFOLIA - POT PLANT
POMK1  ,MIKANIA APPLIFOLIA - PRICKING-OFF SEEDLI
POMK2  ,MIKANIA APPLIFOLIA - SEED SOWING
POMN   ,MONSTERA DELICIOSA - POT PLANT
PONE   ,NEMESIA - POT PLANT
PONE2  ,NEMESIA - SEED SOWING
PONP   ,ORNAMENTAL NURSERY PLANT
POOR   ,ORCHIDS (ALL COMMON SPECIES) - POT PLANT
POPA1  ,PACHYSTACHYS SPP. - PRICKING-OFF SEEDLIN
POPH   ,PLANT - HARDY
POPS   ,PILEA SPP. - POT PLANT
POPT2  ,PETUNIA - SEED SOWING
PORA1  ,RANUNCULUS (ANEMONE) - PRICKING-OFF SEED
POSC3  ,SCINDAPSUS - CUTTINGS
POSO1  ,SOLANUM CAPSICASTRUM - PRICKING-OFF SEED
POSY1  ,SYNGONIUM - PRICKING-OFF SEEDLING
POTR1  ,TRISTANIA SPP. - PRICKING-OFF SEEDLING
POTR2  ,TRISTANIA SPP. - SEED SOWING
POVI3  ,VIOLA TRICOLOUR (PANSY) - CUTTINGS
PPF    ,PLANT FIBRE MATERIALS - REFER TO LABEL
PSCA1  ,PERENNIAL RYEGRASS-SELECTIVE WEED CONTR
PSCAMP ,PERENNIAL MEDEA RYEGRASS SEED CROP 3-6
PSCC1  ,PERENNIAL PHALARIS SEED CROP 3-6 LEAF
PSCCO  ,PHALARIS SEED CROP (AT LEAST 1 YEAR OLD)
PSCCS1 ,SIROCCO SEED CROP - ESTABLISHED
PSCF3  ,SUBTERRANEAN CLOVER - UNDERSOWN (REFER T
PSCFA  ,SUB CLOVER SEED CROP - PRIOR TO SOWING
PSCGB  ,WHITE CLOVER SEED CROP - PRIOR TO SOWING
PSCIB  ,ANNUAL MEDIC SEED CROP-PRIOR TO SOWING
PSCJ   ,LUCERNE SEED CROP
PSCM   ,PASTURE GRASS SEED CROP
PSCMP  ,PERENNIAL PASTURE GRASS SEED CROP
PSCO   ,GUINEA GRASS SEED CROP
PSCS   ,SIGNAL GRASS SEED CROP
PSCSHS ,PERENNIAL GRASS - SEED HEAD SUPPRESSION
PSEC   ,SEEDLINGS - CONTAINER GROWN
RURAS  ,RURAL SITUATION 
SC     ,STORED CORN
SCAAQPS,STORED CEREAL PRODUCT QPS & APPROVED CUE
SCACB  ,STORED COFFEE BEAN
SCACO  ,STORED COCOA
SCAET  ,STORED TOBACCO
MONUH  ,LAVENDER
MONVSG ,VICTORIAN SHINING GUM
MONXG  ,GERANIUM
MOPY8  ,PYRETHRUM - GREATER THAN 4 LEAF
MSBB   ,ONION SEEDBED
MSBC   ,SEEDLING BOX
MSBP   ,PROPOGATING BED
MSD    ,SEED DRESSING
MTD    ,TURF AND LAWN - EXCEPT DURBAN GRASS
MTF    ,TURF
MTFA1  ,TURF - AMENITY
MTFAC  ,OVAL OR PARK OF COMMON COUCH
MTFAF  ,OVAL OR PARK OF FESCUE
MTFB1  ,BOWLING GREEN OF COUCH (SEE LABEL)
MTFCSP ,COUCH TURF IN SPORTING AREAS
MTFDE  ,DURBAN GRASS - ESTABLISHED
MTFF   ,FESCUE LAWN OR TURF
MTFGGB ,GOLF FAIRWAY OF BAHIA GRASS
MTFGM  ,GOLF FAIRWAY OF FESCUE
MTFGN  ,GOLF GREEN OF BENT GRASS
MTFGQ  ,GOLF FAIRWAY OF QUEENSLAND BLUE COUCH
MTFHA  ,TENNIS COURT OF BUFFALO GRASS
MTFNH  ,BROWNTOP BENT
MTFPM  ,TURF - PROFESSIONALLY MAINTAINED
MTFRC  ,CLOVER LAWN OR TURF
MTFSBE ,BAHIA GRASS - ESTABLISHED
MTFSE  ,LAWN - SEE LABEL
MTHCE  ,HYBRID COUCH CV TIFDWARF - ESTABLISHED
MTHCG  ,HYBRID COUCH GRASS TURF
MTHCS  ,HYBRID COUCH CV. TIFDWARF LAWN/TURF
MTRG   ,ROUGH GRASS / TURF AREAS
NT3    ,NUT TREE
NTD    ,NUT TREE - DORMANT - OVER 3 YEARS OLD
NTS    ,NUT OVER 3 YEARS OLD
NTSA   ,ALMOND
NTSAD  ,DORMANT ALMOND
NTSI1  ,PISTACHIO - PRIOR TO PLANTING
NTSK2  ,PEANUT OILSEED
NTSK3  ,PEANUT - PRE-PLANT
NTSKS  ,PEANUT SEED
PA4    ,PASTURE - INDUSTRIAL AREA
PAAPW  ,PRIOR TO WINTER PASTURE
PAAR   ,PASTURE RENOVATION
PAASG  ,PASTURE SPRAY/GRAZE
PAASSR1,PASTURE SOD SOWN RICE - REFER TO LABEL
PACB2  ,BALANSA CLOVER - FALLOW & SEEDBED
PACDT  ,PASTURE(CONTAINING SUB CLOVER)
PACES  ,ESTABLISHED CLOVER BASED PASTURE
PACII  ,IMPROVED PASTURE
PACL   ,CLOVER LEYS
PACR1  ,RED CLOVER PASTURE - ESTABLISHED
PACSP  ,SUBTERRANEAN CLOVER (PRIOR TO SOWING)
PACWP  ,WHITE CLOVER (PRIOR TO SOWING)
PADI   ,ADIANTUM - POT PLANT
PAFT   ,TALL FESCUE
PAGM   ,GRASS/MEDIC PASTURE
PAGRR  ,PERENNIAL RYEGRASS - PRIOR TO SOWING
PAL1   ,LUCERNE OVER 1 YEAR OLD
PALET  ,TROPICAL PASTURE
PAMA   ,MEDIC PASTURE - PRIOR TO SOWING
PAMAL  ,PASTURE MANIPULATION PRIOR TO LEUCAENA
PAMHY  ,MEDICS GROWN FOR HAY
PAMS   ,MEDIC PASTURE (SEEDLING)
PAMZ   ,ZODIAC MEDIC PASTURE SEEDLING
PANT2  ,ANTHURIUM SPP. - SEED SOWING
PANT3  ,ANTHURIUM SPP. - CUTTINGS
PAOC   ,COCKSFOOT
PAOC1  ,COCKSFOOT PASTURE - ESTABLISHED
PAOPS  ,PHALARIS SEED
PAOV   ,VETCH
PAPE   ,PASTURE-POST-EMERGENCE
PASB1  ,SPINELESS BURR MEDIC - UNDERSOWN (REFER 
PASS   ,PASTURES - SALVAGE SPRAY
PAWW   ,PASTURE - WICK WIPER APPLICATION
PFFEDP ,PERENNIAL DEMETER FESCUE SEED CROP 3-6
PFPKF  ,CHICKPEA - FALLOW/PRE PLANT
PLYS3  ,ALYSSUM - CUTTINGS
PNNW   ,NATIVE WOODLAND HEATH & SECOND ROTATION
POAN   ,ANEMONE - PRICKING-OFF SEEDLING
POAN1  ,ANTHURIUM SPP. - PRICKING-OFF SEEDLING
POAZ   ,AZALEA - PRICKING-OFF SEEDLING
POBA1  ,BANKSIA SPP. - PRICKING-OFF SEEDLING
POCD1  ,CLERODENDRON - PRICKING-OFF SEEDLING
POCD2  ,CLERODENDRON - SEED SOWING
POCN   ,CARNATION - POT PLANT
POCO1  ,COLEUS - PRICKING-OFF SEEDLING
POCR   ,CHRYSANTHEMUM INDICUM - POT PLANT
POCSS  ,CONIFER - SEEDLING STAGE
PODE3  ,DELPINIUM - CUTTINGS
POEP   ,EUPHORBIA PULCHERRIMA
POFG   ,FERN GARDENIA
POFI3  ,FICUS SPP. - CUTTINGS
POGR3  ,GREVILLEA SPP. - CUTTINGS
POGY   ,GYNURA - POT PLANT
POGY2  ,GYNURA - SEED SOWING
POHL2  ,HELICHRYSUM (IMMORTELLE) - SEED SOWING
POKA   ,KALANCHOE - POT PLANT
POLP1  ,LEPTOSPERMEM - PRICKING-OFF SEEDLING
POLP2  ,LEPTOSPERMUM - SEED SOWING
POMA   ,MARANTA - POT PLANT
POMS3  ,MESEMBRYANTHEMUM - CUTTINGS
POPA2  ,PACHYSTACHYS SPP. - SEED SOWING
POSA   ,SAINTPAULIA - POT PLANT
POSA1  ,SAINTPAULIA - PRICKING-OFF SEEDLING
POSA3  ,SAINTPAULIA - CUTTINGS
POSO2  ,SOLANUM CAPSICASTRUM - SEED SOWING
POST2  ,STREPTOCARPUS - SEED SOWING
PSC1   ,PASTURE - SEED
PSCAB  ,PERENNIAL RYEGRASS SEED CROP-1 YR.OLD
PSCAM  ,PERENNIAL MEDEA RYEGRASS SEED CROP
PSCC4  ,PERENNIAL PHALARIS GRASS - OVER 1 YEAR
PSCCB  ,SIROSA PHALARIS SEED CROP
PSCCP  ,CENTRO SEED CROP (C. PASCUORUM)
PSCE1  ,COCKSFOOT - SELECTIVE WEED CONTROL
PSCEE  ,COCKSFOOT SEED CROP - ESTABLISHED
PSCHA  ,STRAWBERRY CLOVER SEED CROP-PRIOR TO SOW
PSCHS  ,STRAWBERRY CLOVER PASTURE (SEEDLING)
PSCK   ,CLOVER SEED CROP
PSCMQ  ,PERENNIAL PASTURE GRASS SEED CROP(1 YR.)
PSCPM  ,PANICUM MAXIMUM
PSCSB  ,COMMON STYLO SEED CROP-PRIOR TO SOWING
PSCSY  ,YELLOW SERRADELLA SEED CROP
PSTRS  ,RED SUBTERRANEAN PASTURE (SEEDLING)
SCFD   ,STORED DRIED FRUIT
SCGA1  ,STORED RAW CEREAL GRAINS
SG     ,STORED GRAIN
SWST   ,SALTWATER POOL
TIMAB  ,TIMBER STRUCTURES - ABOVE GROUND
TIMAO  ,TIMBER - OUTSIDE
TIMI   ,TIMBER - INFECTED
TIMLS  ,TIMBER - FOR LANDSCAPING
TLGCH2 ,COUCH HYBRID CULTIVARS
TLSA   ,SANTA ANA
MONKC  ,GERBERA JAMESONII
MONKE  ,MIKANIA APPIFOLIA
MONKI  ,SENECIO CRUENTUS
MONLA1 ,WOODY ORNAMENTAL - CONTAINER GROWN
MONLB  ,LEUCAENA (PRIOR TO SOWING)
MONLE  ,LEPTOSPERMUM PETERSONII
MONLG  ,LAGERSTROEMIA INDICA
MONLJ  ,HORIZONTALIS TEATREE
MONNA  ,DWARF NANDINA
MONOC  ,ORNAMENTAL CITRUS
MONPL  ,TREE PLANTING - PRE/POST PLANT TREATMENT
MONPR  ,WEEPING CHERRY
MONPU  ,POMEGRANATE
MONS7  ,CLEMATIS
MONSA  ,DECIDUOUS SHRUB OR TREE
MONSB  ,CEDAR
MONSD  ,DAPHNE
MONSJ  ,HYPERICUM
MONSQ  ,OLEANDER
MONT1  ,BROWALLIA
MONTC  ,DIOSMA ERICOIDES
MONTFA ,FARM-ESTABLISHMENT OF TRANSPLANTED TREES
MONTOP ,AZALEA - IN POT
MONU9  ,EUCALYPTUS OBLIQUA
MONUE  ,JUNIPERUS
MONUO  ,RUSSELIA
MONW   ,NURSERY STOCK - ORNAMENTAL
MONX   ,POTTED PLANT
MONXSM ,POTTED PLANTS - SEEDLINGS & MATURE CROPS
MONZT  ,ARALIA
MOPY   ,PYRETHRUM LESS THAN 2 YEARS OLD
MOPY7  ,PYRETHRUM - POST-EMERGENCE CROP
MSB    ,SEEDBED
MSBL   ,LUPIN - WEED FREE SEEDBED
MSHA   ,MUSHROOM CASING
MTF1   ,TURF FARM - COMMERCIAL
MTFAA  ,GRASS FOR TURF OR LAWN
MTFB   ,LAWN
MTFBC  ,BOWLING GREEN OF COMMON COUCH
MTFBD  ,BOWLING GREEN OF QUEENSLAND BLUE COUCH
MTFBL  ,BOWLING GREEN OF RYEGRASS
MTFBN  ,BOWLING GREEN OF BENT GRASS
MTFBZ  ,COMMERCIAL TURF GRASS
MTFCA  ,COUCH AND  BENT GRASS TURF OR LAWN
MTFDG  ,DURBAN GRASS
MTFG2  ,OVERSEEDED GREEN AFTER ESTABLISHMENT
MTFGD  ,GOLF GREEN OF COMMON COUCH
MTFGGL ,GOLF FAIRWAY TURF(SEE LBL FOR VARIETIES)
MTFICL ,INDUSTRIAL/COMMERCIAL LAWN(SEE LBL VARIE
MTFK   ,KIKUYU GRASS LAWN OR TURF
MTFNB  ,HYBRID BENT GRASS
MTFNSA ,BENT GRASS IN SPORTING AREAS
MTFR   ,RYEGRASS LAWN OR TURF
MTFRL  ,RYE LAWN - ESTABLISHED
MTIE   ,LAWN -SEE LABEL FOR INCLUSION/EXCLUSIONS
MTKW2  ,KIDNEY WEED
MTRMC  ,MARINE COUCH - ESTABLISHED
NTSG   ,MACADAMIA NUT
NTSH3  ,PECAN DORMANT
NTSHA  ,PECAN OVER 3 YEARS OLD
NTSI   ,PISTACHIO
NTSJ2  ,WALNUT - DORMANT - OVER 3 YEARS OLD
PAA2   ,PASTURE - EXCEPT COTTON
PAAE   ,PASTURE ESTABLISHMENT
PAAW   ,PASTURE (WEED SEED SET CONTROL)
PAC2   ,ANNUAL CLOVER - SELECTIVE WEED CONTROL
PACDN  ,PASTURE NEWLY SOWN (CONTAINING CLOVER)
PACHY  ,CLOVER FOR HAY PRODUCTION
PACNL  ,NATIVE PASTURE - WITH LEGUMES
PACP1  ,PERSIAN CLOVER - FALLOW & SEEDBED
PACP2  ,PASTURE CONTAINING CHICORY & PLANTAIN
PACR   ,RED CLOVER PASTURE
PACS   ,SUBTERRANEAN CLOVER PASTURE
PACSD  ,DALKEITH SUB. CLOVER PASTURE SEEDLING
PACSJ  ,JUNEE SUB. CLOVER PASTURE SEEDLING
PACSQ  ,SEATON PARK SUB. CLOVER PASTURE SEEDLING
PACSW  ,SUB CLOVER PAST. (WEED SEED SET CONTROL)
PACW1  ,WHITE CLOVER PASTURE - ESTABLISHED
PAES2  ,AESCHYNANTHUS SPP. - SEED SOWING
PAFG   ,FENUGREEK PASTURE
PALS   ,LUCERNE PASTURE SEEDLING
PAMAS  ,PASTURE MANIPULATION PRIOR TO SOYBEANS
PAMP   ,MARAL PERSIAN CLOVER PASTURE
PATI   ,PASTURE - TUSSOCK INFESTED
PCF    ,CUT FLOWER FOR EXPORT
PCUPM  ,MACROCARPA CYPRESS
PFGME  ,MEDICS GROWN FOR FORAGE
PGPI   ,PIPING
POA    ,ANTIRRHINUM - POT PLANT
POAT0  ,ASTER - FIELD GROWN - TRANSPLANTS ONLY
POBC3  ,BRUNFELSIA CALYSINA - CUTTINGS
POBR1  ,BROMELIADS - PRICKING-OFF SEEDLING
POBR2  ,BROMELIADS - SEED SOWING
POCA   ,CALCEOLARIA - POT PLANT
POCI1  ,CALLISTEMON - PRICKING-OFF SEEDLING
POCL3  ,CALENDULA - CUTTINGS
POCM1  ,CLEMATIS - PRICKING-OFF SEEDLING
POCN3  ,CARNATION - CUTTINGS
POCV3  ,CODIAEUM VARIEGATUM - CUTTINGS
PODF1  ,DIEFFENBACHIA - PRICKING-OFF SEEDLING
POEU1  ,EUCALYPTUS SPP. - PRICKING-OFF SEEDLING
POFA2  ,FATSHEDERA LIZEI - SEED SOWING
POFI   ,FICUS SPP. - POT PLANT
POFT1  ,FATSIA JAPONICA - PRICKING-OFF SEEDLING
POFT2  ,FATSIA JAPONICA - SEED SOWING
POFV   ,FITTONIA VERSCHAFFELTII - POT PLANT
POFV3  ,FITTONIA VERSCHAFFELTII - CUTTINGS
POGR1  ,GREVILLEA SPP. - PRICKING-OFF SEEDLING
POIM1  ,IMPATIENS - PRICKING-OFF SEEDLING
POIR3  ,IRIS - CUTTINGS
POLI   ,LILIUM - POT PLANT
POME2  ,MELALEUCA SPP. - SEED SOWING
POMK3  ,MIKANIA APPLIFOLIA - CUTTINGS
POMS2  ,MESEMBRYANTHEMUM - SEED SOWING
POMT2  ,MATTHIOLA (STOCK) - SEED SOWING
PONS   ,NURSERY STOCK - NON-FOOD BEARING
POOX2  ,ORCHIDS (ALL COMMON TYPES) - SEED SOWING
POP    ,PALM
POPA   ,PACHYSTACHYS SPP. - POT PLANT
POPE3  ,PEPEROMIA SPP. - CUTTINGS
POPL3  ,PHALAENOSPSIS - CUTTINGS
POPR2  ,PRIMULA SPP. - SEED SOWING
POPS3  ,PILEA SPP. - CUTTINGS
POPX   ,PHLOX - POT PLANT
PORA2  ,RANUNCULUS (ANEMONE) - SEED SOWING
POSE2  ,SENECIO CRUENTUS - SEED SOWING
POSE3  ,SENECIO CRUENTUS - CUTTINGS
POSO3  ,SOLANUM CAPSICASTRUM - CUTTINGS
POSR   ,STROBILANTHES - POT PLANT
POSY2  ,SYNGONIUM - SEED SOWING
POVE2  ,VERBENA - SEED SOWING
POVR3  ,VRIESEA SPLENDENS - CUTTINGS
PRPPP  ,POME FRUIT - PRIOR TO PLANTING
PSC2   ,SIGNAL GRASS - SEEDLING
PSCA   ,PERENNIAL RYEGRASS SEED CROP
MONPI  ,PINE
MONPO  ,POPLAR
MONQ   ,QUEENSLAND BRUSH BOX
MONS6  ,BANKSIA
MONSC  ,CREPE MYRTLE OR LARGRSTROEMIA
MONSP  ,SPRUCE
MONSZ  ,STURT PEA
MONT   ,ORNAMENTAL TREE
MONT6  ,CUPHEA
MONTCO ,ESTABLISHMENT OF TRANSPLANTED TREE-COMME
MONTE  ,ORNAMENTAL FIG
MONTK  ,ROSE
MONTP  ,CAMELLIA OR TEA
MONTQ  ,NON BEARING FRUIT TREE
MONTR  ,WATTLES - ACACIA SPECIES
MONTU  ,REMOVAL OF UNWANTED SHRUB OR TREE
MONUG  ,TICKBUSH OR KUNZEA
MONUJ  ,LEUCOSPERMUM
MONXD  ,DECIDUOUS TREE - DORMANT
MONXR  ,GERALDTON WAX
MONXXX ,MARGINATA (??? DON'T USE CODE)
MONZV1 ,WEED CONTROL BY CUT STUMP APPLICATION
MSBA1  ,TOBACCO FIELD
MSBF   ,ORNAMENTAL SEEDLING
MSE    ,PRE-PLANTING SOIL TREATMENT
MSHB   ,MUSHROOM COMPOST
MTB    ,TURF AND LAWN - EXCEPT BUFFALO
MTF2   ,TURF - COOL SEASON SPECIES
MTFAI  ,OVAL OR PARK OF BUFFALO GRASS
MTFB2  ,BOWLING GREEN - NEWLY SOWN
MTFBF  ,BOWLING GREEN OF FESCUE
MTFCE  ,COUCH - ESTABLISHED
MTFCL  ,CROQUET LAWNS
MTFG5  ,GOLF TEE OF RYEGRASS
MTFG6  ,GOLF TEE OF COUCH (SEE LABEL)
MTFG7  ,GOLF GREEN OF COUCH (SEE LABEL)
MTFGGC ,GOLF FAIRWAY OF BUFFALO GRASS
MTFGSR ,GOLF COURSE - SHORT ROUGH
MTFGU  ,GOLF COURSE - AROUND
MTFNE  ,BENT GRASS - ESTABLISHED
MTFQBE ,QUEENSLAND BLUE COUCH - ESTABLISHED
MTFQD  ,PLAYING FIELD OF QUEENSLAND BLUE COUCH
MTFQPS ,TURF - QPS AND APPROVED CUE TREATMENT
MTFTC  ,CENTIPEDE GRASS - ESTABLISHED
NTSAT  ,ALMOND OVER 3 YEARS OLD
NTSK   ,PEANUT
PAAM1  ,PASTURE MANIPULATION - SEE LABEL
PAASR  ,PASTURE SOD SOWN RICE - POST PLANT/FLUSH
PAASSR ,PASTURE SOD SOWN RICE
PACB1  ,PASTURE - CROP BOUNDARIES
PACIL  ,IMPROVED PASTURE - WITH LEGUMES
PACL1  ,CLOVER GRASS PASTURE - REFER TO LABEL
PACLS  ,SUBCLOVER (ESTABLISHED LUCERNE PASTURE)
PACP   ,PERSIAN CLOVER
PACW   ,WHITE CLOVER PASTURE
PAFB   ,FRONTIER BALANSA CLOVER
PAFO   ,DEMETER FESCUE PASTURE
PAFSL  ,PASTURE & FORAGE CROPS-SEE LABEL INCLUSI
PAGRP1 ,PERENNIAL RYEGRASS PASTURE - ESTABLISHED
PALC   ,PASTURE (CONTAINING LUCERNE)
PALE   ,PASTURE (LEGUMINOUS)
PALES  ,SUBTROPICAL LEGUME PASTURE
PAMAF  ,PASTURE MANIPULATION PRIOR TO FORAGE
PAMB1  ,BARREL MEDIC - UNDERSOWN (REFER TO LABEL
PAMN1  ,SNAIL MEDIC PASTURE - UNDERSOWN (REFER T
PANT   ,ANTHURIUM SPP. - POT PLANT
PAOPP1 ,PHALARIS - FALLOW AND SEEDBED
PAPOA  ,PASTURE (POA TUSSOCK INFESTED)
PASB   ,SPINELESS BURR MEDIC
PASFE  ,PASTURE PRIOR TO FOREST ESTABLISHMENT
PAST   ,PASTURE-CONS.TILL.-D.DRILL.S.SOW.F.MAIN.
PFGLU  ,LUCERNE GROWN FOR FORAGE
POA2   ,ANTIRRHINUM (SNAPDRAGON) - SEED SOWING
POAE1  ,AECHMEA SPP. - PRICKING-OFF SEEDLING
POAG   ,AGERATUM - SEED SOWING
POAL1  ,ALYSSUM - PRICKING-OFF SEEDLING
POAS   ,ASPARAGUS - POT PLANT
POAZ2  ,AZALEA - SEED SOWING
POBA   ,BANKSIA SPP. - POT PLANT
POBE   ,BEGONIA SPP. - POT PLANT
POBE1  ,BEGONIA SPP. - PRICKING-OFF SEEDLING
POBE2  ,BEGONIA SPP. - SEED SOWING
POBE3  ,BEGONIA SPP. - CUTTINGS
POCH3  ,CHLOROPHYTUM - CUTTINGS
POCI2  ,CALLISTEMON - SEED SOWING
POCM   ,CLEMATIS - POT PLANT
