id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	import_id	exp_cnt	chk	dummy							
247	sp_update	brownplanthopper		Brown planthopper	0							1	0		221008										
248	sp_update	budworm 		Budworm	0							1	0		221008										
249	sp_update	BudwormAphid		"Budworm,Aphids"	0							1	0		221008										
250	sp_update	Budworms		Budworm	0							1	0		221008										
251	sp_update	bugs		Bugs	0							1	0		221008										
252	sp_update	bulb rot		Bulb rot	0							1	0		221008										
253	sp_update	Burrowing Nematode		Burrowing nematode	0							1	0		221008										
254	sp_update	Burrowing nematodes		Burrowing nematode	0							1	0		221008										
255	sp_update	Burrowing of nematode (Radopholus Similis)		Nematode	0	Radopholus Similis						1	0		221008										
256	sp_update	Bush Snail		Bush snail	0							1	0		221008										
257	sp_update	"Bush,Snails"		Bush snail	0							1	0		221008										
258	sp_update	Bush snails		Bush snail	0							1	0		221008										
259	sp_update	butt mold	Butt molds	Butt mold	0							1	0		221008										
260	sp_update	butt molds		Butt mold	0							1	0		221008										
261	sp_update	"Butt,Crown mold"		"Butt mold,Crown mold"	0							1	0		221008										
262	sp_update	"Butt,Crown rot"		"Butt rot,Crown rot"	0							1	0		221008										
263	sp_update	buttonweed		Buttonweed	0							1	0		221008										
264	sp_update	cabagge moth		Cabagge moth	0							1	0		221008										
265	sp_update	cabbage butterfly		Cabbage butterfly	0							1	0		221008										
266	sp_update	cabbage looper		Cabbage looper	0							1	0		221008										
267	sp_update	cabbage moth		Cabagge moth	0							1	0		221008										
268	sp_update	cabbage worm		Cabbage worm	0							1	0		221008										
269	sp_update	Cabbage worm Aphid		"Cabbage worm,Aphid"	0							1	0		221008										
270	sp_update	cabbage wormd		Cabbage worm	0							1	0		221008										
271	sp_update	cabbage worms		Cabbage worm	0							1	0		221008										
272	sp_update	cadelle		Cadelle beetle	0							1	0		221008										
273	sp_update	calopogonium		Calopogonium	0							1	0		221008										
274	sp_update	canker fruit rot		"Canker,Fruit rot"	0							1	0		221008										
275	sp_update	capsid bug		Capsid bug	0							1	0		221008										
276	sp_update	capsid bugs		Capsid bug	0							1	0		221008										
277	sp_update	caseworm		Caseworm	0							1	0		221008										
278	sp_update	caseworms		Caseworm	0							1	0		221008										
279	sp_update	caspid bugs		Capsid bug	0							1	0		221008										
280	sp_update	Cass%ava for the control of			0							1	0		221008										
281	sp_update	caterpillars		Caterpillar	1							1	0	test: should fail: chk 0 rows updates	221008										
282	sp_update	Cecid	Cecid fly	Cecid fly	0							1	0		221008										
283	sp_update	cecid fly		Cecid fly	0							1	0		221008		Cercospora leafpineapple mold								
284	sp_update	Cecosporaleaf spot		Cercospora leaf spot	0							1	0		221008										
285	SQL	"UPDATE Staging2 SET pathogens = REPLACE(pathogens,'cercospora' ,'Cercospora leafspot') WHERE pathogens LIKE '%cercospora'  OR pathogens LIKE '%cercospora,%'  "	Cercospora leafspot	Cercospora leaf spot	0							1	0		221008										
286	sp_update	cercospora alternaria		"Cercospora leaf spot,Alternaria"	0							1	0		221008										
287	sp_update	cercospora blight		Cercospora leaf blight	0							1	0		221008										
288	sp_update	cercospora leaf blight		Cercospora leaf blight	0							1	0		221008										
289	sp_update	cercospora leaf mold		Cercospora leaf mold	0							1	0		221008										
290	sp_update	cercospora leaf spot		Cercospora leaf spot	0							1	0		221008										
291	sp_update	cercospora leafspot		Cercospora leaf spot	0							1	0		221008										
292	sp_update	Cercospora Leafspot		Cercospora leaf spot	0							1	0		221008										
293	sp_update	Cercospora spot		Cercospora leaf spot	0							1	0		221008										
294	sp_update	Cercospora%eaf%spot		Cercospora leaf spot	0							1	0		221008										
295	sp_update	cercosporaleaf spot		Cercospora leaf spot	0							1	0		221008										
296	sp_update	cercosporaleafspot		Cercospora leaf spot	0							1	0		221008										
297	sp_update	Cercspora	{Cercospora }	Cercospora leaf spot	0							1	0		221008										
298	sp_update	Certain annual grasses		Annual grasses	0							1	0		221008										
299	sp_update	Citrus Black Spot Black spot		Citrus black Spot	0							1	0		221008										
300	sp_update	Citrus black spot black spot		Citrus black spot	0							1	0		221008										
301	sp_update	Citrus Black Spot scab		"Citrus black Spot,Scab"	0							1	0		221008										
302	sp_update	Citrus black spot scab		"Citrus black spot,Scab"	0							1	0		221008										
303	sp_update	Citrus brown rot spot		"Citrus brown rot,Citrus spot"	0							1	0		221008										
304	sp_update	club root		Clubroot	0							1	0		221008		Cercospora leafpineapple mold								
305	sp_update	Clubroot caused by Plasmodiophora brassicae		Clubroot	0	Plasmodiophora brassicae						1	0		221008										
306	sp_update	Coffee Berry disease		Coffee berry disease	0							1	0		221008										
307	sp_update	coffee berry disease		Coffee berry disease	0							1	0		221008										
308	sp_update	Coffee berry diseases		Coffee berry disease	0							1	0		221008										
309	sp_update	Coffee ripening			0							1	0		221008										
310	sp_update	Coffee Rust		Coffee rust	0							1	0		221008										
311	sp_update	"Coffee Rust,Berry Diseases"		"Coffee rust,Coffee berry disease"	0							1	0		221008										
312	sp_update	"Coffee,Berry disease"		"Coffee rust,Coffee berry disease"	0							1	0		221008										
313	sp_update	Cogon shade conditions		Cogon grass	0							1	0		221008										
314	sp_update	"Cogon,Mutha,Paragrass,Talahib,Fern,"		"Cogon grass,Mutha grass,Para grass,Talahib grass,Fern grass,"	0							1	0		221008										
315	sp_update	comborer		{Asian corn borer}	0	Ostrinia furnacalis						1	0		221008										
316	sp_update	Common cutworm(spodoptera litura )		Common cutworm	0	Spodoptera litura						1	0		221008										
317	sp_update	Common grassy field		Weeds	0							1	0		221008										
318	sp_update	confused	confused flour Beetle	Confused flour beetle	0							1	0		221008										
319	sp_update	Confused flour Beetle		Confused flour beetle	0							1	0		221008										
320	sp_update	Confused flour beetleflourbeetle		Confused flour beetle	0							1	0		221008										
321	sp_update	Corm weevils		Corm weevil	0							1	0		221008										
